Date, Close/Last, Volume, Open, High, Low
04/03/2020, $24.26, 6540410, $24.75, $24.86, $23.81
04/02/2020, $24.26, 11099800, $25.48, $26.25, $23.56
04/01/2020, $25.75, 8348028, $26.15, $27.37, $25.5817
03/31/2020, $26.84, 11559450, $28.36, $28.44, $26.52
03/30/2020, $28.21, 12831220, $29.09, $29.71, $27.85
03/27/2020, $28.58, 17938490, $27.75, $29.54, $26.32
03/26/2020, $28.48, 25959430, $27.5, $29.97, $27.1102
03/25/2020, $25.88, 14644080, $26, $27.74, $25.3801
03/24/2020, $25.95, 18741750, $26.1, $27.325, $25.23
03/23/2020, $24.75, 18564060, $22.83, $24.98, $21.87
03/20/2020, $22.23, 19419500, $22.75, $23.3, $20.9521
03/19/2020, $21.01, 42253720, $18.67, $21.62, $17.85
03/18/2020, $18.01, 26186730, $17.99, $18.7, $16.03
03/17/2020, $19.9, 21975490, $17.05, $21.37, $16.76
03/16/2020, $17.04, 22321420, $16.03, $19.43, $15.1
03/13/2020, $19.59, 49949450, $21.02, $21.02, $15.9
03/12/2020, $21.35, 22313150, $21.74, $24.48, $20.76
03/11/2020, $23.62, 9458762, $24.8, $25.28, $22.86
03/10/2020, $25.06, 11114450, $26.04, $26.1, $23.6
03/09/2020, $24.89, 10489150, $24.33, $25.05, $23.13
03/06/2020, $26.42, 17042090, $28.78, $29.19, $25.25
03/05/2020, $28.39, 20713830, $27.1, $30.47, $27
03/04/2020, $27.8, 7931775, $27, $27.81, $26.73
03/03/2020, $26.92, 8929896, $27.09, $27.27, $26.11
03/02/2020, $27.21, 9163811, $27.71, $27.71, $26.01
02/28/2020, $27.02, 9927870, $25.25, $27.04, $25.1415
02/27/2020, $26.22, 8731474, $25.58, $27.08, $25.09
02/26/2020, $26.61, 7580207, $27.42, $27.7, $26.15
02/25/2020, $26.75, 11124630, $28.06, $28.3, $26.22
02/24/2020, $27.92, 11519520, $27.08, $28.38, $26.34
02/21/2020, $28.44, 18561010, $29.67, $29.7, $27.7
02/20/2020, $27.49, 10114790, $27.57, $28.0751, $26.52
02/19/2020, $27.5, 7218983, $27.84, $28.34, $27.41
02/18/2020, $27.58, 14614220, $28.1, $29.37, $27.32
02/14/2020, $27.99, 17914540, $27, $28.38, $26.62
02/13/2020, $26.55, 9858935, $25.45, $26.66, $25.2587
02/12/2020, $25.81, 9891652, $26.05, $26.37, $24.87
02/11/2020, $25.98, 22224030, $24.55, $26.03, $24.33
02/10/2020, $26.54, 61005950, $23.12, $27.89, $23
02/07/2020, $22.99, 4734953, $22.61, $23.07, $22.5
02/06/2020, $22.65, 7972435, $23.4, $23.48, $22.54
02/05/2020, $23.31, 12429010, $23.36, $23.66, $22.53
02/04/2020, $23.25, 20621060, $21.55, $23.59, $21.55
02/03/2020, $20.98, 6471885, $20.78, $21.1, $20.265
01/31/2020, $20.73, 5398811, $20.51, $20.78, $20.2
01/30/2020, $20.64, 6295298, $20.62, $20.73, $20.11
01/29/2020, $20.8, 7147264, $21.22, $21.2734, $20.48
01/28/2020, $20.98, 8438194, $20.57, $21.18, $20.405
01/27/2020, $20.06, 9400441, $20.05, $20.5, $19.8
01/24/2020, $20.59, 9070499, $21.47, $21.7963, $20.56
01/23/2020, $21.22, 8072998, $22.24, $22.2858, $21.21
01/22/2020, $22.14, 3963955, $22.5, $22.75, $22.13
01/21/2020, $22.31, 5275884, $22.48, $22.68, $22.06
01/17/2020, $22.46, 9408681, $23.19, $23.24, $22.17
01/16/2020, $22.97, 6968278, $22.55, $23.2964, $22.55
01/15/2020, $22.33, 7991924, $22.4, $23.23, $22.215
01/14/2020, $22.28, 10474500, $22.94, $22.94, $21.91
01/13/2020, $23.2, 5838692, $23.19, $23.51, $22.82
01/10/2020, $23.12, 5637093, $23.35, $23.44, $22.76
01/09/2020, $23.17, 11311850, $23.77, $23.96, $22.5
01/08/2020, $23.77, 7524125, $23.61, $24.26, $23.25
01/07/2020, $23.83, 10046420, $23.53, $23.95, $23.22
01/06/2020, $23.52, 12537610, $22.32, $23.66, $22.16
01/03/2020, $22.46, 6770915, $22.5, $22.92, $22.3803
01/02/2020, $23.02, 11670360, $22.32, $23.16, $22.14
12/31/2019, $22.48, 6060725, $21.89, $22.5, $21.89
12/30/2019, $22.21, 8528453, $22.16, $22.37, $21.63
12/27/2019, $22, 4877817, $22.05, $22.08, $21.61
12/26/2019, $22, 5460288, $21.42, $22.01, $21.32
12/24/2019, $21.35, 2890314, $21.5, $21.52, $21.26
12/23/2019, $21.53, 6929876, $21.23, $21.76, $21.1
12/20/2019, $21.51, 9842381, $21.2, $21.52, $20.89
12/19/2019, $21.23, 9009312, $21.06, $21.49, $20.93
12/18/2019, $21.13, 10774540, $20.51, $21.475, $20.15
12/17/2019, $20.71, 10504270, $21.53, $21.69, $20.58
12/16/2019, $21.41, 9160500, $21.7, $21.93, $21.34
12/13/2019, $21.39, 8055418, $20.92, $21.4492, $20.67
12/12/2019, $20.9, 10764010, $20.81, $20.97, $20.2
12/11/2019, $20.75, 21995410, $21.75, $21.95, $20.59
12/10/2019, $22.25, 10079860, $22.52, $22.91, $22.12
12/09/2019, $23, 9313917, $22.39, $23.07, $22.29
12/06/2019, $22.5, 17889090, $22.46, $23.14, $22.11
12/05/2019, $22.78, 34210450, $22.2, $22.83, $20.665
12/04/2019, $21.66, 16813800, $22.21, $22.65, $21.51
12/03/2019, $22.57, 5825335, $21.76, $22.68, $21.45
12/02/2019, $22.51, 9373444, $22.83, $22.83, $20.92
11/29/2019, $22.82, 3146043, $22.59, $23.35, $22.5201
11/27/2019, $22.62, 3773421, $22.1, $22.68, $22.0501
11/26/2019, $22.09, 3913980, $22.33, $22.85, $21.86
11/25/2019, $22.5, 7344600, $21.34, $22.615, $21.25
11/22/2019, $21.17, 4373472, $21, $21.39, $20.96
11/21/2019, $21, 6826937, $21.5, $22.05, $20.94
11/20/2019, $21.7, 6533144, $20.71, $21.86, $20.68
11/19/2019, $21.18, 16135210, $22.35, $22.35, $20.64
11/18/2019, $23.11, 10135400, $22.64, $23.55, $22.43
11/15/2019, $22.86, 10680280, $21.65, $23.1, $21.47
11/14/2019, $21.69, 7650556, $21.05, $21.72, $20.9
11/13/2019, $21.3, 5444447, $20.6, $21.38, $20.6
11/12/2019, $20.7, 6743814, $20.05, $20.8, $19.53
11/11/2019, $20.13, 4529347, $20.16, $20.35, $19.915
11/08/2019, $20.5, 9419555, $19.69, $20.5, $19.69
11/07/2019, $20.34, 7787144, $20, $20.55, $19.83
11/06/2019, $20.14, 8829443, $20.78, $20.95, $20.095
11/05/2019, $20.75, 7164970, $22, $22.16, $20.71
11/04/2019, $21.94, 6393951, $21.92, $22.26, $21.61
11/01/2019, $21.94, 5766481, $21.94, $22.18, $21.48
10/31/2019, $22, 5726041, $22.96, $23.23, $21.7949
10/30/2019, $23.25, 9835497, $22.55, $23.27, $22.01
10/29/2019, $22.5, 11331810, $21.65, $22.78, $21.25
10/28/2019, $21.47, 13186650, $20.51, $21.64, $19.86
10/25/2019, $20.46, 9752459, $20.75, $21.33, $20.22
10/24/2019, $20.98, 10310310, $20.95, $21.48, $20.51
10/23/2019, $20.84, 7713792, $20.73, $21.48, $20.67
10/22/2019, $21.03, 11307730, $22.52, $22.58, $20.91
10/21/2019, $22.58, 8555712, $21.93, $22.74, $21.87
10/18/2019, $21.81, 20234750, $23.5, $23.6, $21.44
10/17/2019, $24, 6638367, $23.17, $24, $22.93
10/16/2019, $23.64, 14606710, $23.09, $23.8, $22.69
10/15/2019, $24.74, 6009322, $24.59, $24.98, $24.26
10/14/2019, $24.62, 8251574, $25.23, $25.54, $24.52
10/11/2019, $25.99, 15142030, $24.5, $26.36, $24.35
10/10/2019, $23.82, 11664050, $24.3, $24.84, $23.27
10/09/2019, $24.57, 9873825, $25.51, $25.59, $24.41
10/08/2019, $25.7, 8046034, $25.83, $26.3965, $25.07
10/07/2019, $26.05, 7770881, $24.62, $26.28, $24.57
10/04/2019, $24.97, 6679383, $25.1, $25.21, $24.23
10/03/2019, $24.93, 16885910, $23.34, $25.42, $22.53
10/02/2019, $23.43, 6661314, $22.27, $23.49, $22.12
10/01/2019, $22.87, 8560162, $24.07, $24.07, $22.61
09/30/2019, $23.73, 12221010, $22.75, $24.405, $22.26
09/27/2019, $22.06, 6358342, $22.51, $22.755, $21.25
09/26/2019, $22.63, 5578801, $22.41, $22.94, $21.96
09/25/2019, $22.73, 13062400, $23, $23.24, $21.43
09/24/2019, $23.2, 10613740, $23.9, $24.41, $23.02
09/23/2019, $24.16, 13389790, $25.21, $25.245, $23.7
09/20/2019, $25.37, 9451624, $25.85, $26.1, $25.05
09/19/2019, $25.72, 6480172, $25.82, $25.96, $24.99
09/18/2019, $25.71, 5513352, $26.26, $26.75, $24.94
09/17/2019, $26.22, 8067807, $26, $27.41, $25.7755
09/16/2019, $26.1, 8264550, $24.25, $26.21, $24.2
09/13/2019, $24.49, 6592316, $25.62, $25.6956, $24.36
09/12/2019, $25.62, 5540857, $25.55, $25.9, $25
09/11/2019, $25.25, 7759247, $26.26, $26.26, $25.15
09/10/2019, $26.75, 15140220, $24.81, $26.86, $24.5
09/09/2019, $24.92, 29281830, $27.58, $27.6, $23.93
09/06/2019, $27.38, 15019190, $29.75, $29.98, $27.3
09/05/2019, $30.01, 43992920, $26.47, $31.21, $26
09/04/2019, $31.07, 14973090, $29.24, $31.28, $28.94
09/03/2019, $28.76, 6061256, $28.39, $29.22, $27.91
08/30/2019, $28.64, 4674989, $29.94, $30.21, $28.25
08/29/2019, $29.98, 3373628, $30, $30.19, $29.36
08/28/2019, $29.8, 5236290, $29.59, $29.8, $28.5
08/27/2019, $29.91, 3279915, $31.21, $31.27, $29.66
08/26/2019, $30.97, 3692400, $30.34, $31.14, $30.22
08/23/2019, $30.05, 3989862, $30.52, $30.64, $29.97
08/22/2019, $30.55, 4962386, $32.19, $32.48, $30.1938
08/21/2019, $30.8, 2075764, $30.64, $31.39, $30.44
08/20/2019, $30.5, 2228530, $31.09, $31.1, $30.31
08/19/2019, $31.14, 2874617, $30.57, $31.5, $30.3
08/16/2019, $30, 2615030, $30.32, $30.355, $29.91
08/15/2019, $30.16, 2434846, $30.08, $30.75, $30.01
08/14/2019, $30.76, 3234360, $30.52, $30.8131, $29.92
08/13/2019, $31.25, 2151679, $30.83, $31.79, $30.75
08/12/2019, $31.17, 2813812, $30.46, $32.13, $30.235
08/09/2019, $30.78, 1713135, $31.23, $31.45, $30.64
08/08/2019, $31.53, 1728016, $30.92, $31.67, $30.625
08/07/2019, $30.77, 2301209, $30.19, $31.08, $30.05
08/06/2019, $30.84, 3940339, $31.48, $32.23, $30.73
08/05/2019, $31.39, 5923135, $29.38, $31.43, $29.1
08/02/2019, $30.87, 5259904, $31.8, $31.85, $30.77
08/01/2019, $32, 5374384, $33.3, $33.33, $31.93
07/31/2019, $33.42, 3539575, $32.82, $34, $32.8
07/30/2019, $32.58, 2808373, $32.59, $32.8, $32.135
07/29/2019, $33.01, 5056375, $34.1, $34.13, $32.5
07/26/2019, $34.09, 4356685, $33.72, $34.21, $33.33
07/25/2019, $33.72, 3482975, $34.17, $34.3, $33.53
07/24/2019, $34.1, 3780718, $34.02, $34.16, $33.21
07/23/2019, $33.94, 7629350, $33.6, $34.94, $33.45
07/22/2019, $33.25, 3857517, $31.23, $33.35, $31.18
07/19/2019, $31.3, 5727684, $32.05, $32.95, $31.22
07/18/2019, $32, 6851603, $33.4, $33.54, $31.93
07/17/2019, $33.46, 4468774, $34.78, $35, $33.4
07/16/2019, $34.4, 5821533, $34.57, $35.15, $34.2
07/15/2019, $34.75, 8528403, $34, $35.21, $33.94
07/12/2019, $33.73, 14968040, $34.67, $34.99, $33.37
07/11/2019, $35, 4449661, $35.05, $35.5, $34.9
07/10/2019, $35.19, 4986511, $35.6, $36.44, $34.98
07/09/2019, $35.64, 4400143, $34.63, $35.66, $34.46
07/08/2019, $35, 4238393, $35.15, $35.54, $34.95
07/05/2019, $35.52, 3437681, $35.8, $36.1, $35.46
07/03/2019, $36, 3170712, $36.28, $36.46, $35.8
07/02/2019, $36.55, 3193328, $36.11, $36.99, $35.76
07/01/2019, $36.55, 9390075, $38.18, $38.44, $35.94
06/28/2019, $37.5, 8709035, $36.73, $37.5, $36.25
06/27/2019, $36.25, 11298620, $37.77, $38.22, $36.2
06/26/2019, $37.19, 19132540, $36.21, $37.6, $35.85
06/25/2019, $35.2, 10116580, $35.19, $36.14, $34.81
06/24/2019, $35.76, 16944500, $36.32, $36.97, $35.35
06/21/2019, $37.22, 42874130, $38.88, $40.25, $36.6
06/20/2019, $38.62, 137364200, $38.5, $42, $38.25
